Nome;Taxa de Vitoria;AMA;Dano Causado;Ouro Recebido
Rengar;83,3%;4,65;20,7 mil;13,2 mil
Annie;76,9%;3,82;19,9 mil;11,6 mil
Thresh;72,7%;4,17;7,5 mil;7,7 mil
Sett;72,2%;2,44;18,3 mil;11,5 mil
Ornn;72%;3,3;18,2 mil;10,8 mil
Vayne;71,4%;2,47;22,8 mil;12 mil
Xin Zhao;70,7%;3,82;20,1 mil;11 mil
Maokai;70,6%;2,93;11 mil;8,1 mil
Kog'Maw;70,6%;2,87;20,7 mil;10 mil
Syndra;70,1%;2,84;27,5 mil;13,4 mil
Ziggs;70%;3,18;25,8 mil;12,7 mil
Caitlyn;69,7%;2,89;26,9 mil;13,2 mil
Blitzcrank;68,2%;3,86;7,6 mil;7,2 mil
Yone;67,6%;2,27;18,7 mil;11,3 mil
Ashe;67%;3,41;22,4 mil;11,9 mil
Galio;66,7%;3,81;16,3 mil;9,7 mil
Zyra;66,7%;2,15;21,5 mil;9,4 mil
Kindred;66,7%;3,24;20,9 mil;11,8 mil
Xayah;66,7%;3,5;26 mil;12,5 mil
Poppy;66,2%;2,97;11,2 mil;7,5 mil
Viktor;66,1%;2,59;26,6 mil;12,1 mil
Gwen;65,9%;2,32;23,2 mil;12,1 mil
Jinx;65,8%;3,72;21,5 mil;11,9 mil
Lux;65,6%;3,38;17,1 mil;9,1 mil
Lillia;65,5%;3,98;20,6 mil;11,6 mil
Yasuo;65,2%;1,64;19,3 mil;11,9 mil
Rell;65,2%;3,47;6,9 mil;7,7 mil
Braum;65,1%;3,1;7,7 mil;7,5 mil
Twisted Fate;64,4%;3,36;17,5 mil;12,1 mil
Nami;64,4%;4,08;9,5 mil;7,8 mil
Camille;64,3%;2,29;14,1 mil;8,3 mil
Alistar;64,1%;3,12;6,9 mil;7,2 mil
Jax;64%;2,15;18,5 mil;10,9 mil
Jax;64%;3,53;15,3 mil;10,9 mil
Lucian;64%;3,1;24,5 mil;13 mil
Rek'Sai;63,7%;4,63;15,1 mil;10,9 mil
Udyr;63,6%;3,08;13,8 mil;10,2 mil
Quinn;63,6%;1,92;23 mil;10,4 mil
Taliyah;63,5%;3,43;22,3 mil;11,9 mil
Tristana;63,5%;2,66;22,4 mil;12,5 mil
Skarner;63,4%;3,25;20,3 mil;10,2 mil
Kai'Sa;63,3%;3,34;23,3 mil;12,9 mil
Kennen;63,3%;2,62;23,7 mil;11,7 mil
Morgana;63,2%;5,16;20,4 mil;11,4 mil
Hwei;63,1%;3,3;25,1 mil;11,8 mil
Skarner;63%;4,8;17,2 mil;10,4 mil
Camille;62,9%;2,59;21,8 mil;11,9 mil
Rumble;62,6%;3,02;23,2 mil;11 mil
Varus;62,5%;3,02;23,1 mil;12,5 mil
Rakan;62,4%;4,05;7,2 mil;7,6 mil
Sylas;62,3%;3,2;22,6 mil;11,8 mil
Gragas;62,1%;3,55;20,3 mil;10,8 mil
Sona;61,9%;3,65;9,4 mil;8 mil
Pyke;61,9%;2,87;10,5 mil;9,2 mil
Twisted Fate;61,9%;2,46;17,3 mil;11,6 mil
Zeri;61,7%;3,05;24,8 mil;13,3 mil
Leona;61,6%;3,17;9,2 mil;7,5 mil
Miss Fortune;61,5%;3,43;23,6 mil;12,5 mil
Sejuani;61,5%;5,41;14,2 mil;9,9 mil
Ahri;61,5%;3,61;23,4 mil;11,9 mil
Corki;61,3%;3,24;25,9 mil;12,9 mil
Senna;60,9%;2,89;18,7 mil;9,5 mil
Samira;60,8%;3,02;24,6 mil;13,1 mil
Poppy;60,6%;2,82;20,4 mil;10,8 mil
Vayne;60,5%;1,96;21,3 mil;11,1 mil
Tryndamere;60,3%;2,68;19 mil;12,2 mil
Nautilus;60,3%;3,12;8 mil;7,5 mil
Corki;60,2%;2,56;25,6 mil;12,8 mil
Akali;60%;3,08;20,8 mil;11,1 mil
Yone;60%;1,49;17,5 mil;10,2 mil
Kalista;60%;3,05;21,9 mil;12,4 mil
Bel'Veth;60%;3,78;15,1 mil;11,8 mil
Rumble;59,8%;2,57;20,6 mil;8,8 mil
Neeko;59,6%;2,53;12,9 mil;7,3 mil
Draven;59,4%;2,86;22,2 mil;13,5 mil
Kha'Zix;59,4%;3,43;21,9 mil;12,7 mil
Taliyah;59,3%;3,05;22,3 mil;11,2 mil
Viego;59,2%;3,3;16,1 mil;11,3 mil
Sylas;59,1%;3,04;20,5 mil;11,5 mil
Zed;58,6%;3,43;23,8 mil;12,4 mil
Riven;58,5%;3,02;19 mil;11,6 mil
Graves;58,5%;3,31;18,9 mil;12,2 mil
Diana;58,3%;2,61;23,9 mil;12 mil
Jarvan IV;58,1%;4,04;13,8 mil;10,2 mil
Jayce;58%;2,56;24,3 mil;12 mil
Karthus;57,9%;3,17;30,2 mil;12,2 mil
Cassiopeia;57,9%;2,32;28,4 mil;12,4 mil
Zac;57,9%;2,2;19,3 mil;9,7 mil
Milio;57,9%;5,57;5,9 mil;8 mil
Vi;57,7%;3,13;14,1 mil;10,1 mil
Senna;57,6%;3,45;21,3 mil;10 mil
Jayce;57,4%;2,3;24,9 mil;12,3 mil
Morgana;57,1%;3,57;9,7 mil;7,6 mil
Irelia;57,1%;1,84;18,3 mil;11 mil
Gragas;57,1%;3,48;15,3 mil;10,2 mil
Seraphine;57,1%;3,45;7,9 mil;7,7 mil
Bardo;57,1%;3,92;10,7 mil;7,9 mil
Poppy;56,7%;3,68;11,1 mil;8,9 mil
Nidalee;56,3%;4,23;19,6 mil;11,3 mil
Gnar;56,3%;2,02;22,4 mil;11,3 mil
